Project_ID,Display Width (Feet),Display Height (Feet),Total Area Sq Ft,Pixel Pitch,Cabinet Width (mm),Cabinet Height (mm),Module Width (mm),Module Height (mm),Aspect Ratio,Installation Type,Brightness (nits),Refresh Rate (Hz),Display Width (mm),Display Height (mm),Horizontal Pixels,Vertical Pixels,Total Pixels,Total Megapixels,Cabinets Horizontal,Cabinets Vertical,Total Cabinets,Modules per Cabinet,Total Modules,Estimated Data Rate (Gbps),Required Sending Cards,Required Receiving Cards,Redundancy Required,Control Mode,Controller Type,Controller Brand,Controller Model,Controller Series,Maximum Load Pixels,Maximum Width Pixels,Maximum Height Pixels,Maximum Ethernet Ports,Maximum Fiber Ports,Controller Units Required,Controller Load %,Recommended Usage,Reason for Selection,Selection Confidence %,Approx Controller Price (USD),Approx Controller Price (INR),Official Product URL,Official Datasheet URL,Manufacturer,Country,Availability,AI Explanation
PRJ-00011,6.56,3.28,21.52,P1.86,500,1000,250,250,2:1,Indoor,800,3840,2000,1000,1075,538,578350,0.578,4,1,4,8,32,0.958,1,4,No,Asynchronous (PC-free),Async Media Player/Card,NovaStar,TB1-4G,Taurus Series,650000,4096,1920,1,0,1,89.0,"Pole screens, door headers, small DOOH",Smallest economical controller with >=10% headroom: 0.58MP load vs 0.65MP capacity (89.0% utilization); width 1075px <= 4096px and height 538px <= 1920px limits satisfied.,92,180,15120,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 1075 x 538 which equals 0.58 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-C10 (520,000 px) but fits within the NovaStar TB1-4G capacity of 650,000 px with a 10% safety margin (load 89.0%), the AI recommends NovaStar TB1-4G (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 4 receiving card(s) are required for the 4-cabinet indoor P1.86 display."
PRJ-00012,1.97,1.11,2.19,P1.25,600,337.5,150,168.75,1.78:1,Indoor,900,3840,600,337,480,270,129600,0.13,1,1,1,8.0,8.0,0.215,1,1,No,Synchronous,Sync Sender/Processor,Colorlight,X1,X Series,650000,4096,1080,1,0,1,19.9,"Door headers, small signage, tickers",Smallest economical controller with >=10% headroom: 0.13MP load vs 0.65MP capacity (19.9% utilization); width 480px <= 4096px and height 270px <= 1080px limits satisfied.,98,180,15120,https://en.colorlightinside.com/products/,https://en.colorlightinside.com/service/download/,Colorlight,China,In Production,"The display resolution is 480 x 270 which equals 0.13 million pixels. Since the total pixel count fits within the Colorlight X1 capacity of 650,000 px with a 10% safety margin (load 19.9%), the AI recommends Colorlight X1 (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 1 receiving card(s) are required for the 1-cabinet indoor P1.25 display."
PRJ-00013,3.28,3.28,10.76,P2,500,500,250,250,1:1,Indoor,700,1920,1000,1000,500,500,250000,0.25,2,2,4,4,16,0.414,1,4,No,Asynchronous (PC-free),Async Media Player/Card,Huidu,HD-D15,D Series,300000,4096,512,1,0,1,83.3,"LED posters, shelf strips",Smallest economical controller with >=10% headroom: 0.25MP load vs 0.30MP capacity (83.3% utilization); width 500px <= 4096px and height 500px <= 512px limits satisfied.,92,45,3780,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 500 x 500 which equals 0.25 million pixels. Since the total pixel count fits within the Huidu HD-D15 capacity of 300,000 px with a 10% safety margin (load 83.3%), the AI recommends Huidu HD-D15 (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 4 receiving card(s) are required for the 4-cabinet indoor P2 display."
PRJ-00014,11.81,11.07,130.74,P1.25,600,675,300,168.75,16:15,Indoor,700,3840,3600,3375,2880,2700,7776000,7.776,6,5,30,8.0,240.0,12.877,1,30,Yes,Synchronous,Sync Sender/Processor,Huidu,HD-VP1620,HD-VP Series,10400000,16384,8192,16,2,1,74.8,Very large budget walls,Smallest economical controller with >=10% headroom: 7.78MP load vs 10.40MP capacity (74.8% utilization); width 2880px <= 16384px and height 2700px <= 8192px limits satisfied.,92,1950,163800,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 2880 x 2700 which equals 7.78 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-H4K (8,290,000 px) but fits within the Huidu HD-VP1620 capacity of 10,400,000 px with a 10% safety margin (load 74.8%), the AI recommends Huidu HD-VP1620 (16x 1G Ethernet, 2x fiber). 12 Ethernet port(s) and 30 receiving card(s) are required for the 30-cabinet indoor P1.25 display."
PRJ-00015,60.47,33.6,2031.79,P4,512,512,256,128,9:5,Indoor,4400,3840,18432,10240,4608,2560,11796480,11.796,36,20,720,8,5760,19.535,1,720,Yes,Synchronous,Fiber Distribution System,NovaStar,MX2000 Pro,MX Series,26000000,16384,16384,0,8,1,45.4,"Giant outdoor facades, 8K studios",Smallest economical controller with >=10% headroom: 11.80MP load vs 26.00MP capacity (45.4% utilization); width 4608px <= 16384px and height 2560px <= 16384px limits satisfied.,97,14500,1218000,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 4608 x 2560 which equals 11.80 million pixels. Since the total pixel count exceeds the usable capacity of Colorlight X20 (13,000,000 px) but fits within the NovaStar MX2000 Pro capacity of 26,000,000 px with a 10% safety margin (load 45.4%), the AI recommends NovaStar MX2000 Pro (0x 1G Ethernet, 8x fiber). 19 Ethernet port(s) and 720 receiving card(s) are required for the 720-cabinet indoor P4 display."
PRJ-00016,4.82,6.43,30.99,P1.53,490,490,245,245,3:4,Indoor,1000,3840,1470,1960,961,1281,1231041,1.231,3,4,12,4,48,2.039,1,12,No,Asynchronous (PC-free),Async Media Player/Card,Colorlight,A200,A Series,2300000,4096,2048,4,0,1,53.5,"Larger DOOH, mirror screens",Smallest economical controller with >=10% headroom: 1.23MP load vs 2.30MP capacity (53.5% utilization); width 961px <= 4096px and height 1281px <= 2048px limits satisfied.,96,430,36120,https://en.colorlightinside.com/products/,https://en.colorlightinside.com/service/download/,Colorlight,China,In Production,"The display resolution is 961 x 1281 which equals 1.23 million pixels. Since the total pixel count exceeds the usable capacity of Colorlight S2 (1,310,000 px) but fits within the Colorlight A200 capacity of 2,300,000 px with a 10% safety margin (load 53.5%), the AI recommends Colorlight A200 (4x 1G Ethernet, 0x fiber). 2 Ethernet port(s) and 12 receiving card(s) are required for the 12-cabinet indoor P1.53 display."
PRJ-00017,6.3,2.1,13.23,P4,640,640,320,160,3:1,Outdoor,1400,1920,1920,640,480,160,76800,0.077,3,1,3,8,24,0.127,1,3,No,Synchronous,Sync Sender/Processor,Colorlight,X1,X Series,650000,4096,1080,1,0,1,11.8,"Door headers, small signage, tickers",Smallest economical controller with >=10% headroom: 0.08MP load vs 0.65MP capacity (11.8% utilization); width 480px <= 4096px and height 160px <= 1080px limits satisfied.,99,180,15120,https://en.colorlightinside.com/products/,https://en.colorlightinside.com/service/download/,Colorlight,China,In Production,"The display resolution is 480 x 160 which equals 0.08 million pixels. Since the total pixel count fits within the Colorlight X1 capacity of 650,000 px with a 10% safety margin (load 11.8%), the AI recommends Colorlight X1 (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 3 receiving card(s) are required for the 3-cabinet outdoor P4 display."
PRJ-00018,12.6,6.3,79.38,P10,960,960,160,160,2:1,Outdoor,7800,1920,3840,1920,384,192,73728,0.074,4,2,8,36,288,0.122,1,8,No,Asynchronous (PC-free),Async Media Player/Card,Huidu,HD-A601,A Series,500000,2048,1024,1,0,1,14.7,"Wedding halls, small event screens",Smallest economical controller with >=10% headroom: 0.07MP load vs 0.50MP capacity (14.7% utilization); width 384px <= 2048px and height 192px <= 1024px limits satisfied.,96,150,12600,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 384 x 192 which equals 0.07 million pixels. Since the total pixel count fits within the Huidu HD-A601 capacity of 500,000 px with a 10% safety margin (load 14.7%), the AI recommends Huidu HD-A601 (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 8 receiving card(s) are required for the 8-cabinet outdoor P10 display."
PRJ-00019,12.6,44.09,555.53,P8,1280,960,320,160,2:7,Outdoor,6000,1920,3840,13440,480,1680,806400,0.806,3,14,42,24,1008,1.335,1,42,Yes,Synchronous,Sync Sender/Processor,Huidu,HD-VP210,HD-VP Series,1300000,4096,2048,2,0,1,62.0,"Budget signage, small shops, rental basics",Smallest economical controller with >=10% headroom: 0.81MP load vs 1.30MP capacity (62.0% utilization); width 480px <= 4096px and height 1680px <= 2048px limits satisfied.,93,260,21840,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 480 x 1680 which equals 0.81 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-D35 (650,000 px) but fits within the Huidu HD-VP210 capacity of 1,300,000 px with a 10% safety margin (load 62.0%), the AI recommends Huidu HD-VP210 (2x 1G Ethernet, 0x fiber). 2 Ethernet port(s) and 42 receiving card(s) are required for the 42-cabinet outdoor P8 display."
PRJ-00020,1.97,2.21,4.35,P0.9,600,675,300,168.75,8:9,Indoor,800,3840,600,675,667,750,500250,0.5,1,1,1,8.0,8.0,0.828,1,1,No,Asynchronous (PC-free),Async Media Player/Card,NovaStar,TB1-4G,Taurus Series,650000,4096,1920,1,0,1,77.0,"Pole screens, door headers, small DOOH",Smallest economical controller with >=10% headroom: 0.50MP load vs 0.65MP capacity (77.0% utilization); width 667px <= 4096px and height 750px <= 1920px limits satisfied.,90,180,15120,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 667 x 750 which equals 0.50 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-C10 (520,000 px) but fits within the NovaStar TB1-4G capacity of 650,000 px with a 10% safety margin (load 77.0%), the AI recommends NovaStar TB1-4G (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 1 receiving card(s) are required for the 1-cabinet indoor P0.9 display."
PRJ-00021,9.45,6.3,59.53,P5,960,960,320,160,3:2,Outdoor,5100,3840,2880,1920,576,384,221184,0.221,3,2,6,18,108,0.366,1,6,No,Synchronous,Sync Sender/Processor,Colorlight,X1,X Series,650000,4096,1080,1,0,1,34.0,"Door headers, small signage, tickers",Smallest economical controller with >=10% headroom: 0.22MP load vs 0.65MP capacity (34.0% utilization); width 576px <= 4096px and height 384px <= 1080px limits satisfied.,97,180,15120,https://en.colorlightinside.com/products/,https://en.colorlightinside.com/service/download/,Colorlight,China,In Production,"The display resolution is 576 x 384 which equals 0.22 million pixels. Since the total pixel count fits within the Colorlight X1 capacity of 650,000 px with a 10% safety margin (load 34.0%), the AI recommends Colorlight X1 (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 6 receiving card(s) are required for the 6-cabinet outdoor P5 display."
PRJ-00022,16.4,3.28,53.79,P2,500,1000,250,250,5:1,Indoor,900,3840,5000,1000,2500,500,1250000,1.25,10,1,10,8,80,2.07,1,10,No,Synchronous,Sync Sender/Processor,NovaStar,VX600 Pro,VX Series,3900000,10240,8192,6,2,1,32.1,"Broadcast-grade mid-size walls, rental",Smallest economical controller with >=10% headroom: 1.25MP load vs 3.90MP capacity (32.1% utilization); width 2500px <= 10240px and height 500px <= 8192px limits satisfied.,96,2100,176400,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 2500 x 500 which equals 1.25 million pixels. Since the total pixel count exceeds the usable capacity of Colorlight S2 (1,310,000 px) but fits within the NovaStar VX600 Pro capacity of 3,900,000 px with a 10% safety margin (load 32.1%), the AI recommends NovaStar VX600 Pro (6x 1G Ethernet, 2x fiber). 2 Ethernet port(s) and 10 receiving card(s) are required for the 10-cabinet indoor P2 display."
PRJ-00023,2.1,3.15,6.62,P1.86,640,480,320,160,2:3,Indoor,900,3840,640,960,344,516,177504,0.178,1,2,2,6,12,0.294,1,2,No,Asynchronous (PC-free),Async Media Player/Card,Huidu,HD-A4L,A Series,650000,4096,2048,1,0,1,27.3,Mid-size cloud-published signage,Smallest economical controller with >=10% headroom: 0.18MP load vs 0.65MP capacity (27.3% utilization); width 344px <= 4096px and height 516px <= 2048px limits satisfied.,99,170,14280,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 344 x 516 which equals 0.18 million pixels. Since the total pixel count fits within the Huidu HD-A4L capacity of 650,000 px with a 10% safety margin (load 27.3%), the AI recommends Huidu HD-A4L (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 2 receiving card(s) are required for the 2-cabinet indoor P1.86 display."
PRJ-00024,18.9,25.2,476.28,P6,960,960,192,192,3:4,Outdoor,8000,3840,5760,7680,960,1280,1228800,1.229,6,8,48,25,1200,2.035,1,48,Yes,Synchronous,Sync Sender/Processor,NovaStar,MCTRL R5,MCTRL Series,3900000,8192,4096,6,2,1,31.5,Rental & staging with creative rotations,Smallest economical controller with >=10% headroom: 1.23MP load vs 3.90MP capacity (31.5% utilization); width 960px <= 8192px and height 1280px <= 4096px limits satisfied.,97,1450,121800,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 960 x 1280 which equals 1.23 million pixels. Since the total pixel count exceeds the usable capacity of Colorlight S2 (1,310,000 px) but fits within the NovaStar MCTRL R5 capacity of 3,900,000 px with a 10% safety margin (load 31.5%), the AI recommends NovaStar MCTRL R5 (6x 1G Ethernet, 2x fiber). 2 Ethernet port(s) and 48 receiving card(s) are required for the 48-cabinet outdoor P6 display."
PRJ-00025,4.2,1.57,6.59,P2.5,640,480,320,160,8:3,Indoor,1000,1920,1280,480,512,192,98304,0.098,2,1,2,6,12,0.163,1,2,No,Asynchronous (PC-free),Async Media Player/Card,Colorlight,A35,A Series,350000,4096,1024,1,0,1,28.1,Small storefront and pole screens,Smallest economical controller with >=10% headroom: 0.10MP load vs 0.35MP capacity (28.1% utilization); width 512px <= 4096px and height 192px <= 1024px limits satisfied.,98,150,12600,https://en.colorlightinside.com/products/,https://en.colorlightinside.com/service/download/,Colorlight,China,In Production,"The display resolution is 512 x 192 which equals 0.10 million pixels. Since the total pixel count fits within the Colorlight A35 capacity of 350,000 px with a 10% safety margin (load 28.1%), the AI recommends Colorlight A35 (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 2 receiving card(s) are required for the 2-cabinet indoor P2.5 display."
PRJ-00026,34.02,60.47,2057.19,P6,576,576,192,192,9:16,Outdoor,7500,1920,10368,18432,1728,3072,5308416,5.308,18,32,576,9,5184,8.791,1,576,Yes,Synchronous,Sync Sender/Processor,Huidu,HD-VP1220,HD-VP Series,7800000,10240,8192,12,2,1,68.1,"Large budget walls, government projects",Smallest economical controller with >=10% headroom: 5.31MP load vs 7.80MP capacity (68.1% utilization); width 1728px <= 10240px and height 3072px <= 8192px limits satisfied.,95,1450,121800,https://www.huidu.cn/,https://www.huidu.cn/,Huidu,China,In Production,"The display resolution is 1728 x 3072 which equals 5.31 million pixels. Since the total pixel count exceeds the usable capacity of Huidu HD-VP820 (5,200,000 px) but fits within the Huidu HD-VP1220 capacity of 7,800,000 px with a 10% safety margin (load 68.1%), the AI recommends Huidu HD-VP1220 (12x 1G Ethernet, 2x fiber). 9 Ethernet port(s) and 576 receiving card(s) are required for the 576-cabinet outdoor P6 display."
PRJ-00027,1.64,1.64,2.69,P1.86,500,500,250,250,1:1,Indoor,1100,1920,500,500,269,269,72361,0.072,1,1,1,4,4,0.12,1,1,Yes,Synchronous,Sync Sender/Processor,Colorlight,X1,X Series,650000,4096,1080,1,0,1,11.1,"Door headers, small signage, tickers",Smallest economical controller with >=10% headroom: 0.07MP load vs 0.65MP capacity (11.1% utilization); width 269px <= 4096px and height 269px <= 1080px limits satisfied.,99,180,15120,https://en.colorlightinside.com/products/,https://en.colorlightinside.com/service/download/,Colorlight,China,In Production,"The display resolution is 269 x 269 which equals 0.07 million pixels. Since the total pixel count fits within the Colorlight X1 capacity of 650,000 px with a 10% safety margin (load 11.1%), the AI recommends Colorlight X1 (1x 1G Ethernet, 0x fiber). 1 Ethernet port(s) and 1 receiving card(s) are required for the 1-cabinet indoor P1.86 display."
PRJ-00028,32.13,18.9,607.26,P6,576,576,192,192,17:10,Outdoor,5600,1920,9792,5760,1632,960,1566720,1.567,17,10,170,9,1530,2.594,1,170,Yes,Asynchronous (PC-free),Async Media Player/Card,NovaStar,TB50,Taurus Series,2300000,4096,2048,4,0,1,68.1,"Larger DOOH, mirror/pole screens",Smallest economical controller with >=10% headroom: 1.57MP load vs 2.30MP capacity (68.1% utilization); width 1632px <= 4096px and height 960px <= 2048px limits satisfied.,92,520,43680,https://www.novastar.tech/products/,https://www.novastar.tech/downloads/,NovaStar,China,In Production,"The display resolution is 1632 x 960 which equals 1.57 million pixels. Since the total pixel count exceeds the usable capacity of Colorlight S2 (1,310,000 px) but fits within the NovaStar TB50 capacity of 2,300,000 px with a 10% safety margin (load 68.1%), the AI recommends NovaStar TB50 (4x 1G Ethernet, 0x fiber). 3 Ethernet port(s) and 170 receiving card(s) are required for the 170-cabinet outdoor P6 display."
