Brand,Model,Series,Type,Max Pixels,Max Width,Max Height,Ethernet Ports,Fiber Ports,Input Interfaces,Output Interfaces,Scaling,HDR,Genlock,Supported Refresh Rate,Supported Color Depth,Recommended Display Size,Power Consumption (W),Datasheet URL,Product URL,MSRP (USD),Indian Price (INR approx),Country,Notes
NovaStar,MX6000 Pro,MX Series,Fiber Distribution System,141000000,65536,65536,0,32,"Modular: HDMI 2.1, DP1.4, ST 2110, 12G-SDI",Up to 32x 10G optical (card based),No (pixel-to-pixel),Yes (HDR10/HLG),Yes,Up to 240Hz,Up to 12bit,"Mega projects: stadiums, city landmarks",450,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,48000,4032000,China,Card-cage chassis; capacity per installed cards | Prices indicative; verify with authorized distributor.
NovaStar,H2,H Series,Splicing Processor,13000000,16384,8192,20,4,"Modular: HDMI, DVI, SDI, DP",Up to 20x 1G Ethernet / 4x optical (card based),Yes (multi-layer splicing),No,No,Up to 60Hz,8/10bit,Multi-source video walls up to ~13MP,120,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,4800,403200,China,2-slot splicing chassis; capacity per output cards | Prices indicative; verify with authorized distributor.
NovaStar,H5,H Series,Splicing Processor,39000000,32768,16384,60,12,"Modular: HDMI, DVI, SDI, DP",Up to 60x 1G Ethernet (card based),Yes (multi-layer splicing),No,No,Up to 60Hz,8/10bit,Large multi-source walls up to ~39MP,250,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,9800,823200,China,5-slot splicing chassis | Prices indicative; verify with authorized distributor.
NovaStar,H9,H Series,Splicing Processor,65000000,32768,32768,100,20,"Modular: HDMI, DVI, SDI, DP, ST 2110",Up to 100x 1G Ethernet (card based),Yes (multi-layer splicing),Yes,Yes,Up to 60Hz,8/10/12bit,Very large walls up to ~65MP,400,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,18500,1554000,China,9-slot splicing chassis | Prices indicative; verify with authorized distributor.
NovaStar,H15,H Series,Splicing Processor,104000000,65536,32768,160,32,"Modular: HDMI, DVI, SDI, DP, ST 2110",Up to 160x 1G Ethernet (card based),Yes (multi-layer splicing),Yes,Yes,Up to 60Hz,8/10/12bit,Mega multi-source walls up to ~104MP,600,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,32000,2688000,China,15-slot splicing chassis | Prices indicative; verify with authorized distributor.
NovaStar,TB1-4G,Taurus Series,Async Media Player/Card,650000,4096,1920,1,0,"Async: cloud/VNNOX, Wi-Fi, 4G, USB",1x 1G Ethernet,No,No,No,Up to 60Hz,8bit,PC-free signage up to ~0.65MP,8,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,180,15120,China,Playback + sending in one; 4G option | Prices indicative; verify with authorized distributor.
NovaStar,TB2-4G,Taurus Series,Async Media Player/Card,1300000,4096,1920,2,0,"Async: cloud/VNNOX, Wi-Fi, 4G, USB",2x 1G Ethernet,No,No,No,Up to 60Hz,8bit,PC-free signage up to ~1.3MP,10,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,260,21840,China,Playback + sending in one; 4G option | Prices indicative; verify with authorized distributor.
NovaStar,TB30,Taurus Series,Async Media Player/Card,650000,4096,1920,2,0,"Async: VNNOX cloud, Wi-Fi, USB; 4K decode",2x 1G Ethernet,No,No,No,Up to 60Hz,8bit,PC-free signage up to ~0.65MP,10,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,270,22680,China,"Replaces TB3; dual Ethernet, cloud control | Prices indicative; verify with authorized distributor."
NovaStar,TB40,Taurus Series,Async Media Player/Card,1300000,4096,1920,2,0,"Async: VNNOX cloud, Wi-Fi, 4G (opt), USB",2x 1G Ethernet,No,No,No,Up to 60Hz,8bit,PC-free signage up to ~1.3MP,12,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,340,28560,China,Replaces TB6; 4K decoding | Prices indicative; verify with authorized distributor.
NovaStar,TB50,Taurus Series,Async Media Player/Card,2300000,4096,2048,4,0,"Async: VNNOX cloud, Wi-Fi, 4G (opt), HDMI in",4x 1G Ethernet,No,No,No,Up to 60Hz,8bit,PC-free signage up to ~2.3MP,15,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,520,43680,China,Replaces TB8; sync+async dual mode | Prices indicative; verify with authorized distributor.
NovaStar,TB60,Taurus Series,Async Media Player/Card,2300000,4096,2048,4,0,"Async: VNNOX cloud, HDMI input, Wi-Fi, 4G (opt)",4x 1G Ethernet,No,No,No,Up to 60Hz,8bit,PC-free dual-mode signage up to ~2.3MP,18,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,640,53760,China,HDMI in for sync/async auto-switch | Prices indicative; verify with authorized distributor.
NovaStar,T30,Taurus Series,Async Media Player/Card,650000,4096,1920,1,0,Embedded card: cloud/Wi-Fi/USB,1x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Embedded OEM signage up to ~0.65MP,6,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,120,10080,China,Multimedia card (replaces T3) | Prices indicative; verify with authorized distributor.
NovaStar,T50,Taurus Series,Async Media Player/Card,1300000,4096,1920,2,0,Embedded card: cloud/Wi-Fi/USB,2x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Embedded OEM signage up to ~1.3MP,8,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,180,15120,China,Multimedia card (replaces T6) | Prices indicative; verify with authorized distributor.
NovaStar,T60,Taurus Series,Async Media Player/Card,2300000,4096,2048,4,0,Embedded card: cloud/Wi-Fi/USB,4x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Embedded OEM signage up to ~2.3MP,10,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,260,21840,China,Multimedia card (replaces T8) | Prices indicative; verify with authorized distributor.
NovaStar,SMP4 Pro,SMP Series,Async Media Player/Card,1300000,4096,2048,2,0,"Async: VNNOX cloud, Wi-Fi, 4G (opt), USB; HDMI in",2x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Smart signage up to ~1.3MP,21,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,470,39480,China,New-gen smart media player; NovaLCT/VNNOX | Prices indicative; verify with authorized distributor.
NovaStar,SMP6 Pro,SMP Series,Async Media Player/Card,2600000,4096,2048,4,0,"Async: VNNOX cloud, Wi-Fi, 4G (opt), HDMI in",4x 1G Ethernet,Yes (basic),No,No,Up to 60Hz,8bit,Smart signage up to ~2.6MP,21,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,620,52080,China,Scaling support in NovaLCT; dual mode | Prices indicative; verify with authorized distributor.
NovaStar,SMP20 Pro,SMP Series,Async Media Player/Card,6500000,8192,4096,10,0,"Async: VNNOX cloud, HDMI 2.0 in, Wi-Fi, 4G (opt)",10x 1G Ethernet,Yes,No,No,Up to 60Hz,8/10bit,Large cloud-managed signage up to ~6.5MP,35,https://www.novastar.tech/downloads/,https://www.novastar.tech/products/,1450,121800,China,Top SMP model; verify spec with distributor | Prices indicative; verify with authorized distributor.
Colorlight,X1,X Series,Sync Sender/Processor,650000,4096,1080,1,0,HDMI 1.3,1x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Very small displays up to ~0.65MP,8,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,180,15120,China,Single port budget sender | Prices indicative; verify with authorized distributor.
Colorlight,X2,X Series,Sync Sender/Processor,1310000,4096,2048,2,0,"HDMI 1.3, DVI",2x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Small displays up to ~1.3MP,10,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,280,23520,China,Compact 2-port sender | Prices indicative; verify with authorized distributor.
Colorlight,X2m,X Series,Sync Sender/Processor,1310000,4096,2048,2,0,"HDMI 1.4, USB playback",2x 1G Ethernet,Yes (basic),No,No,Up to 60Hz,8bit,Small displays up to ~1.3MP,12,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,330,27720,China,X2 with media playback | Prices indicative; verify with authorized distributor.
Colorlight,X4,X Series,Sync Sender/Processor,2600000,8192,4096,4,0,"HDMI 1.4, DVI",4x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Displays up to ~2.6MP,15,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,420,35280,China,Best-selling 4-port sender | Prices indicative; verify with authorized distributor.
Colorlight,X6,X Series,Sync Sender/Processor,3900000,8192,4096,6,0,"HDMI 1.4, DVI, SDI (opt)",6x 1G Ethernet,Yes (basic),No,No,Up to 60Hz,8bit,Displays up to ~3.9MP,20,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,650,54600,China,6-port sender with basic processing | Prices indicative; verify with authorized distributor.
Colorlight,X8,X Series,Sync Sender/Processor,5200000,8192,8192,8,2,"HDMI 1.4, DVI, SDI","8x 1G Ethernet, 2x optical",Yes,No,No,Up to 60Hz,8/10bit,Displays up to ~5.2MP,30,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,980,82320,China,8-port with fiber uplink | Prices indicative; verify with authorized distributor.
Colorlight,X12,X Series,Sync Sender/Processor,7800000,10240,8192,12,2,"HDMI 2.0, DVI, SDI, DP","12x 1G Ethernet, 2x 10G optical",Yes,No,No,Up to 60Hz,8/10bit,Displays up to ~7.8MP,45,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,1650,138600,China,12-port sender | Prices indicative; verify with authorized distributor.
Colorlight,X16,X Series,Sync Sender/Processor,10400000,16384,8192,16,4,"HDMI 2.0, DP, DVI, SDI","16x 1G Ethernet, 4x 10G optical",Yes,Yes,Yes,Up to 60Hz @4K,8/10/12bit,4K walls up to ~10.4MP,60,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,2900,243600,China,4K-capable 16-port sender | Prices indicative; verify with authorized distributor.
Colorlight,X16 Pro,X Series,Sync Sender/Processor,10400000,16384,8192,16,4,"HDMI 2.0, DP1.2, 12G-SDI","16x 1G Ethernet, 4x 10G optical",Yes,Yes (HDR10),Yes,Up to 120Hz,8/10/12bit,Premium 4K walls up to ~10.4MP,70,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,3600,302400,China,Upgraded X16 with HDR/120Hz | Prices indicative; verify with authorized distributor.
Colorlight,X20,X Series,Sync Sender/Processor,13000000,16384,8192,20,4,"HDMI 2.0, DP1.2, 12G-SDI","20x 1G Ethernet, 4x 10G optical",Yes,Yes,Yes,Up to 120Hz,8/10/12bit,Above-4K walls up to ~13MP,80,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,4300,361200,China,"High-end sender, 120Hz capable | Prices indicative; verify with authorized distributor."
Colorlight,S2,X Series,Sync Sender/Processor,1310000,4096,2048,2,0,DVI (PCI-style internal card),2x 1G Ethernet,No,No,No,Up to 60Hz,8bit,PC-installed sending card up to ~1.3MP,6,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,120,10080,China,Internal dual-port sending card | Prices indicative; verify with authorized distributor.
Colorlight,Z6 PRO-G2,Z Series,Sync Sender/Processor,3900000,8192,4096,6,2,"HDMI 1.4, DVI, SDI, USB playback","6x 1G Ethernet, 2x optical",Yes,No,No,Up to 60Hz,8/10bit,All-in-one processing up to ~3.9MP,35,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,1250,105000,China,Video processor + sender all-in-one | Prices indicative; verify with authorized distributor.
Colorlight,Z8t,Z Series,Sync Sender/Processor,5200000,8192,8192,8,2,"HDMI 2.0, DVI, SDI, DP","8x 1G Ethernet, 2x 10G optical",Yes,Yes,No,Up to 60Hz,8/10bit,All-in-one processing up to ~5.2MP,45,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,1850,155400,China,"Popular all-in-one, seamless switching | Prices indicative; verify with authorized distributor."
Colorlight,A35,A Series,Async Media Player/Card,350000,4096,1024,1,0,"Async: cloud (PlayerMaster), Wi-Fi, 4G (opt), LAN",1x 1G Ethernet,No,No,No,Up to 60Hz,8bit,PC-free signage up to ~0.35MP,8,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,150,12600,China,Entry cloud player | Prices indicative; verify with authorized distributor.
Colorlight,A60,A Series,Async Media Player/Card,650000,4096,1920,1,0,"Async: cloud, Wi-Fi hotspot, LAN",1x 1G Ethernet,No,No,No,Up to 60Hz,8bit,PC-free signage up to ~0.65MP,9,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,210,17640,China,Sync display + async playback | Prices indicative; verify with authorized distributor.
Colorlight,A100,A Series,Async Media Player/Card,1300000,4096,1920,2,0,"Async: cloud, Wi-Fi, 4G (opt), LAN",2x 1G Ethernet,No,No,No,Up to 60Hz,8bit,PC-free signage up to ~1.3MP,10,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,300,25200,China,"4K decode, cloud cluster publishing | Prices indicative; verify with authorized distributor."
Colorlight,A200,A Series,Async Media Player/Card,2300000,4096,2048,4,0,"Async: cloud, Wi-Fi, 4G (opt), LAN",4x 1G Ethernet,No,No,No,Up to 60Hz,8bit,PC-free signage up to ~2.3MP,12,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,430,36120,China,"4K 10bit decode, multi-window | Prices indicative; verify with authorized distributor."
Colorlight,A2K,A Series,Async Media Player/Card,650000,4096,1920,1,0,"Async: cloud, Wi-Fi, LAN; 1080P output",1x 1G Ethernet,No,No,No,Up to 60Hz,8bit,PC-free 1080p-class signage,9,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,190,15960,China,2K-class cloud player | Prices indicative; verify with authorized distributor.
Colorlight,A4K,A Series,Async Media Player/Card,2300000,4096,2048,4,0,"Async: cloud, Wi-Fi, 4G (opt); 4K decode",4x 1G Ethernet,No,No,No,Up to 60Hz,8/10bit,PC-free 4K-decode signage up to ~2.3MP,14,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,390,32760,China,4K 10bit VP9/H265 decode | Prices indicative; verify with authorized distributor.
Colorlight,A500,A Series,Async Media Player/Card,5200000,8192,4096,8,0,"Async: cloud, HDMI in, Wi-Fi, 4G (opt)",8x 1G Ethernet,Yes (basic),No,No,Up to 60Hz,8bit,Large PC-free signage up to ~5.2MP,25,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,980,82320,China,High-load cloud player; verify spec | Prices indicative; verify with authorized distributor.
Colorlight,A800,A Series,Async Media Player/Card,6500000,8192,4096,10,0,"Async: cloud, HDMI in, Wi-Fi, 4G (opt)",10x 1G Ethernet,Yes (basic),No,No,Up to 60Hz,8bit,Very large PC-free signage up to ~6.5MP,30,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,1350,113400,China,Top A-series player; verify spec | Prices indicative; verify with authorized distributor.
Colorlight,C3 Pro,C Series,Async Media Player/Card,650000,4096,1024,1,0,"Async: cloud, Wi-Fi, 4G (opt), USB",1x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Compact PC-free signage up to ~0.65MP,7,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,140,11760,China,Compact embedded-style player | Prices indicative; verify with authorized distributor.
Colorlight,C5,C Series,Async Media Player/Card,650000,4096,1920,1,0,"Async: cloud, Wi-Fi, LAN, USB",1x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Compact PC-free signage up to ~0.65MP,8,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,170,14280,China,PC-free play mode | Prices indicative; verify with authorized distributor.
Colorlight,C7,C Series,Async Media Player/Card,1300000,4096,1920,2,0,"Async: cloud, Wi-Fi, 4G (opt), LAN",2x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Compact PC-free signage up to ~1.3MP,10,https://en.colorlightinside.com/service/download/,https://en.colorlightinside.com/products/,240,20160,China,Cluster management via cloud | Prices indicative; verify with authorized distributor.
Huidu,HD-VP210,HD-VP Series,Sync Sender/Processor,1300000,4096,2048,2,0,"HDMI, DVI, VGA, AV, USB",2x 1G Ethernet,Yes,No,No,Up to 60Hz,8bit,Small displays up to ~1.3MP,20,https://www.huidu.cn/,https://www.huidu.cn/,260,21840,China,Budget 2-in-1 processor + sender | Prices indicative; verify with authorized distributor.
Huidu,HD-VP410,HD-VP Series,Sync Sender/Processor,2600000,8192,4096,4,0,"HDMI, DVI, VGA, SDI (opt), USB",4x 1G Ethernet,Yes,No,No,Up to 60Hz,8bit,Displays up to ~2.6MP,25,https://www.huidu.cn/,https://www.huidu.cn/,430,36120,China,4-port budget all-in-one | Prices indicative; verify with authorized distributor.
Huidu,HD-VP620,HD-VP Series,Sync Sender/Processor,3900000,8192,4096,6,0,"HDMI, DVI, SDI, DP, USB",6x 1G Ethernet,Yes,No,No,Up to 60Hz,8bit,Displays up to ~3.9MP,30,https://www.huidu.cn/,https://www.huidu.cn/,640,53760,China,6-port budget all-in-one | Prices indicative; verify with authorized distributor.
Huidu,HD-VP820,HD-VP Series,Sync Sender/Processor,5200000,8192,8192,8,0,"HDMI 2.0, DVI, SDI, DP, USB",8x 1G Ethernet,Yes,No,No,Up to 60Hz,8/10bit,Displays up to ~5.2MP,40,https://www.huidu.cn/,https://www.huidu.cn/,890,74760,China,8-port budget all-in-one | Prices indicative; verify with authorized distributor.
Huidu,HD-VP1220,HD-VP Series,Sync Sender/Processor,7800000,10240,8192,12,2,"HDMI 2.0, DVI, SDI, DP, USB","12x 1G Ethernet, 2x optical",Yes,No,No,Up to 60Hz,8/10bit,Displays up to ~7.8MP,55,https://www.huidu.cn/,https://www.huidu.cn/,1450,121800,China,12-port budget flagship | Prices indicative; verify with authorized distributor.
Huidu,HD-VP1620,HD-VP Series,Sync Sender/Processor,10400000,16384,8192,16,2,"HDMI 2.0, DVI, 3G-SDI, DP, USB","16x 1G Ethernet, 2x optical",Yes,No,No,Up to 60Hz,8/10bit,Displays up to ~10.4MP,65,https://www.huidu.cn/,https://www.huidu.cn/,1950,163800,China,16-port processor | Prices indicative; verify with authorized distributor.
Huidu,HD-VP1640,HD-VP Series,Sync Sender/Processor,10400000,16384,8192,16,4,"HDMI 2.0, DP, 12G-SDI, USB","16x 1G Ethernet, 4x 10G optical",Yes,Yes,No,Up to 60Hz @4K,8/10bit,4K-class walls up to ~10.4MP,75,https://www.huidu.cn/,https://www.huidu.cn/,2600,218400,China,4K-capable 16-port with 4 fiber | Prices indicative; verify with authorized distributor.
Huidu,HD-VP8000,HD-VP Series,Splicing Processor,26000000,16384,16384,40,8,"Modular: HDMI 2.0, DVI, SDI, DP",Card-based: up to 40x 1G Ethernet / 8x optical,Yes (multi-layer splicing),No,No,Up to 60Hz,8/10bit,Multi-source large walls up to ~26MP,200,https://www.huidu.cn/,https://www.huidu.cn/,5800,487200,China,Splicing chassis; capacity per cards; verify config | Prices indicative; verify with authorized distributor.
Huidu,HD-T901,T Series,Sync Sender/Processor,1300000,4096,2048,2,0,DVI (PC card) / HDMI (box variants),2x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Sending card up to ~1.3MP,6,https://www.huidu.cn/,https://www.huidu.cn/,110,9240,China,Works with Huidu R-series RX cards | Prices indicative; verify with authorized distributor.
Huidu,HD-T902B,T Series,Sync Sender/Processor,2600000,8192,4096,4,0,"HDMI, DVI",4x 1G Ethernet,No,No,No,Up to 60Hz,8bit,Sending box up to ~2.6MP,12,https://www.huidu.cn/,https://www.huidu.cn/,220,18480,China,4-port sending box | Prices indicative; verify with authorized distributor.
Huidu,HD-A3L,A Series,Async Media Player/Card,650000,4096,2048,1,0,"Async: HDPlayer/Cloud, Wi-Fi, 4G (opt), U-disk",1x 1G Ethernet,No,No,No,Up to 60Hz,8bit,PC-free signage up to ~0.65MP,8,https://www.huidu.cn/,https://www.huidu.cn/,140,11760,China,Entry dual-mode player; 1080P decode | Prices indicative; verify with authorized distributor.
Huidu,HD-A4L,A Series,Async Media Player/Card,650000,4096,2048,1,0,"Async: cloud, LAN, Wi-Fi, U-disk",1x 1G Ethernet,No,No,No,Up to 60Hz,8bit,PC-free signage up to ~0.65MP,9,https://www.huidu.cn/,https://www.huidu.cn/,170,14280,China,LAN + cloud content publishing | Prices indicative; verify with authorized distributor.
